Customer_ID,Age,Income,Spending_Score,Purchase_Frequency,Satisfaction_Score,Gender,Education_Level,Marital_Status,Employment_Status,Loyalty_Tier,Region,Online_Shopping_Frequency,Product_Category,Avg_Discount_Avail,Store_Visits_Per_Month,Customer_Rating,Credit_Score,Days_Since_Last_Purchase,Dependents
1.0,56.0,89240.24464,40.53227567,33.0,2.0,Female,Bachelor's,Single,Retired,Bronze,West,17.0,Electronics,27.71936668,9.0,1.583507969,604.9819056,76.0,0.0
2.0,43.0,87809.97610992633,51.41875570550104,47.0,4.0,,,,,,,28.0,,27.155004604208422,3.0,,575.6355494953684,175.93684210526317,1.0
3.0,46.0,55001.62002,99.25586671,44.0,3.0,Female,High School,Married,Unemployed,Silver,East,24.0,Groceries,21.11651515,7.0,4.846977288,837.33408,54.0,0.0
4.0,32.0,69046.9412,92.77309582,11.0,4.0,Male,Master's,Single,Employed,Silver,East,6.0,Fashion,22.03890725,1.0,6.63979315,653.1710308,54.0,1.0
5.0,60.0,22609.25571,54.4557559,17.0,4.0,Male,Bachelor's,Married,Retired,Gold,South,15.0,Home,23.81588073,2.0,7.54834009,316.9326129,128.0,0.0
6.0,25.0,61870.29153,84.36129614,4.0,4.0,Male,PhD,Single,Unemployed,Platinum,North,15.0,Fashion,29.59815407,7.0,7.113849988,698.0915271,84.0,1.0
7.0,38.0,87809.97610992633,52.57483975,47.0,3.0,Female,Bachelor's,Single,Retired,Silver,South,14.0,Electronics,29.90706216,7.0,5.234506472,798.0077807,213.0,1.0
8.0,56.0,62574.65578,51.41875570550104,25.0,5.0,Female,Master's,Single,Retired,Platinum,,5.0,Fashion,27.33795148,0.0,4.491086761,737.5691374,114.0,0.0
9.0,36.0,35569.07714,9.823318779,47.0,3.0,Male,Bachelor's,Single,Unemployed,Platinum,West,8.0,Electronics,18.77004381,7.0,4.383639187,621.1082999,313.0,1.0
10.0,40.0,135768.5465,51.41875570550104,9.0,3.0,Female,High School,Single,Employed,Platinum,,6.0,Groceries,46.72429092,9.0,6.760439172,669.2169322,292.0,2.0
11.0,28.0,97167.01896,13.64363488,21.0,5.0,Female,Bachelor's,Married,Retired,Gold,East,13.0,Fashion,31.48637438,1.0,5.453149194,844.6054841,48.0,0.0
12.0,43.0,108283.3015,82.7806954,47.0,2.0,Female,Bachelor's,Single,Unemployed,Gold,West,28.0,Fashion,23.34826473,11.0,8.642190232,349.8641487,66.0,2.0
13.0,41.0,122592.261,78.42078068,19.0,5.0,Male,Master's,Married,Employed,Gold,South,20.0,Fashion,34.30296323,6.0,8.872317859,666.9846557,274.0,0.0
14.0,43.0,84797.48586,71.16572508,19.0,1.0,Female,High School,Divorced,Retired,Gold,North,15.0,Electronics,39.5585041,5.0,2.535043402,455.868732,128.0,1.0
15.0,57.0,31299.63745,4.579877672,12.0,3.0,Male,Master's,Single,Unemployed,Silver,East,24.0,,48.23276397,1.0,2.226102864,652.0497181,28.0,1.0
16.0,41.0,89823.85044,31.00970724,37.0,1.0,Male,Bachelor's,Married,Retired,Bronze,East,5.0,Fashion,27.4797123,4.0,6.673608334,634.1929667,342.0,3.0
17.0,20.0,96289.34534,27.04814442,42.0,4.0,Male,,Divorced,Unemployed,Bronze,South,21.0,Fashion,27.155004604208422,6.0,3.711031733,384.4012577,32.0,3.0
18.0,39.0,116907.1316,36.65350434,17.0,3.0,Male,Bachelor's,Divorced,Unemployed,Bronze,East,26.0,Groceries,24.83446106,7.0,1.167136469,413.7106552,118.0,2.0
19.0,19.0,76115.74101,9.67663193,37.0,4.0,Male,Master's,Divorced,Retired,Silver,East,15.0,Groceries,26.55367527,2.0,8.997784024,641.8962679,179.0,1.0
