Unnamed: 0,Rank,Player,Age,Events,Rounds,Cuts Made,Top 10s,Wins,Earnings,Yards/Drive,Driving Accuracy,Greens in Regulation,Putting Average,Sand Save Pct,Eagles,Birdies,Pars,Bogies
0,1.0,Dustin Johnson,33.0,22.0,82.0,21.0,15.0,3.0,9365185.0,313.6,57.2,67.8,1.71,45.2,16.0,365.0,882.0,181.0
1,2.0,Jason Day,30.0,20.0,69.0,17.0,10.0,3.0,8045112.0,304.2,50.5,67.2,1.71,62.3,14.0,287.0,763.0,163.0
2,3.0,Adam Scott,37.0,20.0,76.0,20.0,9.0,2.0,6473090.0,304.6,55.6,70.8,1.77,50.9,13.0,300.0,855.0,175.0
3,4.0,Rory McIlroy,28.0,18.0,62.0,15.0,8.0,2.0,5790586.0,306.8,61.1,69.6,1.75,47.5,8.0,274.0,661.0,148.0
4,5.0,Patrick Reed,27.0,28.0,101.0,24.0,11.0,1.0,5679575.0,297.4,56.0,64.7,1.75,56.7,12.0,385.0,1156.0,238.0
5,6.0,Jordan Spieth,24.0,21.0,76.0,19.0,8.0,2.0,5538471.0,295.4,58.1,63.5,1.71,54.7,7.0,324.0,835.0,180.0
6,7.0,Russell Knox,32.0,25.0,89.0,21.0,4.0,2.0,4885907.0,285.8,68.5,69.7,1.79,50.0,5.0,323.0,1042.0,203.0
7,8.0,Kevin Chappell,31.0,27.0,93.0,19.0,8.0,0.0,4501050.0,296.3,60.7,66.4,1.77,44.9,16.0,332.0,1052.0,249.0
8,9.0,Hideki Matsuyama,26.0,23.0,73.0,16.0,8.0,1.0,4193954.0,294.5,62.0,68.1,1.74,53.0,3.0,306.0,806.0,169.0
9,10.0,Jimmy Walker,40.0,25.0,82.0,18.0,5.0,1.0,4148547.0,301.3,48.3,64.0,1.76,46.8,10.0,315.0,889.0,236.0
10,11.0,Justin Thomas,24.0,28.0,96.0,22.0,7.0,1.0,4126366.0,301.3,53.9,65.6,1.78,52.2,11.0,360.0,1054.0,267.0
11,12.0,Phil Mickelson,47.0,22.0,72.0,16.0,6.0,0.0,4022628.0,294.8,54.8,66.1,1.73,61.5,6.0,292.0,817.0,155.0
12,13.0,Brandt Snedeker,37.0,27.0,89.0,20.0,7.0,1.0,3960142.0,292.6,58.7,65.7,1.75,57.1,4.0,339.0,1020.0,216.0
