Rank,Age,Events,Rounds,Cuts Made,Top 10s,Wins,Earnings,Yards/Drive,Driving Accuracy,Greens in Regulation,Putting Average,Sand Save Pct,Eagles,Birdies,Pars,Bogies
1,33,22,82,21,15,3,9365185.00,313.6,57.2,67.8,1.71,45.2,16,365,882,181
2,30,20,69,17,10,3,8045111.50,304.2,50.5,67.2,1.71,62.3,14,287,763,163
3,37,20,76,20,9,2,6473089.50,304.6,55.6,70.8,1.77,50.9,13,300,855,175
4,28,18,62,15,8,2,5790585.50,306.8,61.1,69.6,1.75,47.5,8,274,661,148
5,27,28,101,24,11,1,5679575.00,297.4,56.0,64.7,1.75,56.7,12,385,1156,238
6,24,21,76,19,8,2,5538470.50,295.4,58.1,63.5,1.71,54.7,7,324,835,180
7,32,25,89,21,4,2,4885906.50,285.8,68.5,69.7,1.79,50.0,5,323,1042,203
8,31,27,93,19,8,0,4501050.00,296.3,60.7,66.4,1.77,44.9,16,332,1052,249
9,26,23,73,16,8,1,4193954.00,294.5,62.0,68.1,1.74,53.0,3,306,806,169
10,40,25,82,18,5,1,4148546.50,301.3,48.3,64.0,1.76,46.8,10,315,889,236
11,24,28,96,22,7,1,4126366.00,301.3,53.9,65.6,1.78,52.2,11,360,1054,267
12,47,22,72,16,6,0,4022628.00,294.8,54.8,66.1,1.73,61.5,6,292,817,155
13,37,27,89,20,7,1,3960141.80,292.6,58.7,65.7,1.75,57.1,4,339,1020,216
14,40,22,74,17,7,0,3833559.80,295.2,64.7,70.8,1.79,50.4,5,273,867,167
15,39,26,96,24,10,0,3819678.50,285.8,65.7,67.8,1.75,54.6,5,376,1092,223
16,35,23,81,19,9,1,3701034.50,283.2,66.5,65.8,1.74,50.8,4,304,928,203
17,38,28,98,20,7,1,3614972.30,287.6,65.3,67.4,1.77,47.9,7,350,1142,246
18,39,19,69,17,4,1,3492842.00,310.6,55.1,69.2,1.78,47.3,11,254,770,187
19,34,26,93,22,8,0,3441290.80,279.6,65.3,66.7,1.75,45.9,8,352,1050,241
20,34,27,94,22,6,1,3424353.80,289.0,64.9,65.2,1.73,44.3,10,351,1054,240
21,42,14,46,10,4,1,3397372.80,,,,,,7,196,497,112
22,,25,90,22,3,1,3371705.50,294.3,66.9,68.5,1.78,47.7,4,342,1001,240
