Rank,Age,Events,Rounds,Cuts Made,Top 10s,Wins,Earnings,Yards/Drive,Driving Accuracy,Greens in Regulation,Putting Average,Sand Save Pct,Eagles,Birdies,Pars,Bogies
1,33,22,82,21,15,3,9365185.0,313.6,57.2,67.8,1.71,45.2,16.0,365.0,882.0,181.0
2,30,20,69,17,10,3,8045111.5,304.2,50.5,67.2,1.71,62.3,14.0,287.0,763.0,163.0
3,37,20,76,20,9,2,6473089.5,304.6,55.6,70.8,1.77,50.9,13.0,300.0,855.0,175.0
4,28,18,62,15,8,2,5790585.5,306.8,61.1,69.6,1.75,47.5,8.0,274.0,661.0,148.0
5,27,28,101,24,11,1,5679575.0,297.4,56.0,64.7,1.75,56.7,12.0,385.0,1156.0,238.0
6,24,21,76,19,8,2,5538470.5,295.4,58.1,63.5,1.71,54.7,7.0,324.0,835.0,180.0
7,32,25,89,21,4,2,4885906.5,285.8,68.5,69.7,1.79,50.0,5.0,323.0,1042.0,203.0
8,31,27,93,19,8,0,4501050.0,296.3,60.7,66.4,1.77,44.9,16.0,332.0,1052.0,249.0
9,26,23,73,16,8,1,4193954.0,294.5,62.0,68.1,1.74,53.0,3.0,306.0,806.0,169.0
10,40,25,82,18,5,1,4148546.5,301.3,48.3,64.0,1.76,46.8,10.0,315.0,889.0,236.0
11,24,28,96,22,7,1,4126366.0,301.3,53.9,65.6,1.78,52.2,11.0,360.0,1054.0,267.0
12,47,22,72,16,6,0,4022628.0,294.8,54.8,66.1,1.73,61.5,6.0,292.0,817.0,155.0
13,37,27,89,20,7,1,3960141.8,292.6,58.7,65.7,1.75,57.1,4.0,339.0,1020.0,216.0
14,40,22,74,17,7,0,3833559.8,295.2,64.7,70.8,1.79,50.4,5.0,273.0,867.0,167.0
15,39,26,96,24,10,0,3819678.5,285.8,65.7,67.8,1.75,54.6,5.0,376.0,1092.0,223.0
16,35,23,81,19,9,1,3701034.5,283.2,66.5,65.8,1.74,50.8,4.0,304.0,928.0,203.0
17,38,28,98,20,7,1,3614972.3,287.6,65.3,67.4,1.77,47.9,7.0,350.0,1142.0,246.0
18,39,19,69,17,4,1,3492842.0,310.6,55.1,69.2,1.78,47.3,11.0,254.0,770.0,187.0
19,34,26,93,22,8,0,3441290.8,279.6,65.3,66.7,1.75,45.9,8.0,352.0,1050.0,241.0
20,34,27,94,22,6,1,3424353.8,289.0,64.9,65.2,1.73,44.3,10.0,351.0,1054.0,240.0
21,42,14,46,10,4,1,3397372.8,291.13,60.33,65.8,1.77,49.94,7.0,196.0,497.0,112.0
22,35,25,90,22,3,1,3371705.5,294.3,66.9,68.5,1.78,47.7,4.0,342.0,1001.0,240.0
23,27,21,71,17,7,0,3322393.0,302.6,58.6,67.0,1.74,51.8,11.0,288.0,742.0,203.0
24,25,26,90,22,6,1,3243014.3,298.4,56.7,67.7,1.76,45.9,5.0,342.0,1009.0,217.0
