,TOTAL_VALUE,TAX,LOT_SQFT,YR_BUILT,GROSS_AREA,LIVING_AREA,FLOORS,ROOMS,BEDROOMS,FULL_BATH,HALF_BATH,KITCHEN,FIREPLACE
TOTAL_VALUE,1.0,0.999999973792884,0.5461233673381068,-0.10091679098290576,0.8005188038329001,0.8371204397710155,0.48152297255796545,0.6385390671943315,0.561871366341904,0.432806937010991,0.34816727272084264,0.01826463086636418,0.35856703151103664
TAX,0.999999973792884,1.0,0.546119841661095,-0.10091768376736926,0.8005179257274585,0.8371218840517044,0.48152352643002416,0.6385417679166546,0.5618724047469981,0.43280578252667945,0.34816486037367955,0.018261274805363437,0.3585655939543582
LOT_SQFT,0.5461233673381068,0.546119841661095,1.0,-0.0689075280215369,0.44887951245430696,0.42604506793435554,0.07366197744112638,0.30839465481173783,0.2541055722832104,0.20131720678030351,0.1349955763788178,0.04452505124640808,0.1818786536014051
YR_BUILT,-0.10091679098290576,-0.10091768376736926,-0.0689075280215369,1.0,-0.1679282260594268,-0.1312739985380036,-0.19045269609435575,-0.14468628747461781,-0.1304110218585237,0.07370626075480118,0.060685425504104974,0.05209119416362647,0.08723436852330745
GROSS_AREA,0.8005188038329001,0.8005179257274585,0.44887951245430696,-0.1679282260594268,1.0,0.8997750036115054,0.30066600592799597,0.6515009597971405,0.5717912260463588,0.4197342421520746,0.22668329954716412,0.030500746134439965,0.27008037593232453
LIVING_AREA,0.8371204397710155,0.8371218840517044,0.42604506793435554,-0.1312739985380036,0.8997750036115054,1.0,0.4758244768925034,0.7206711220166955,0.6410407452728544,0.4379870251176649,0.30109821978561563,0.08282479700471865,0.26215882655290157
FLOORS,0.48152297255796545,0.48152352643002416,0.07366197744112638,-0.19045269609435575,0.30066600592799597,0.4758244768925034,1.0,0.43285633472671653,0.4312422879661536,0.11216599189809903,0.3161421728917037,-0.1146017458138368,0.12050621198333335
ROOMS,0.6385390671943315,0.6385417679166546,0.30839465481173783,-0.14468628747461781,0.6515009597971405,0.7206711220166955,0.43285633472671653,1.0,0.7106934606018769,0.3782739708216453,0.28265459879994115,0.12922315068114598,0.2052225886683585
BEDROOMS,0.561871366341904,0.5618724047469981,0.2541055722832104,-0.1304110218585237,0.5717912260463588,0.6410407452728544,0.4312422879661536,0.7106934606018769,1.0,0.3326202833952945,0.25685228199081117,0.0853530273327143,0.1643799530183298
FULL_BATH,0.432806937010991,0.43280578252667945,0.20131720678030351,0.07370626075480118,0.4197342421520746,0.4379870251176649,0.11216599189809903,0.3782739708216453,0.3326202833952945,1.0,-0.13062845087151007,0.14665017076243936,0.14015999003437027
HALF_BATH,0.34816727272084264,0.34816486037367955,0.1349955763788178,0.060685425504104974,0.22668329954716412,0.30109821978561563,0.3161421728917037,0.28265459879994115,0.25685228199081117,-0.13062845087151007,1.0,-0.020070627860046406,0.1762340444854997
KITCHEN,0.01826463086636418,0.018261274805363437,0.04452505124640808,0.05209119416362647,0.030500746134439965,0.08282479700471865,-0.1146017458138368,0.12922315068114598,0.0853530273327143,0.14665017076243936,-0.020070627860046406,1.0,-0.00956173296555439
FIREPLACE,0.35856703151103664,0.3585655939543582,0.1818786536014051,0.08723436852330745,0.27008037593232453,0.26215882655290157,0.12050621198333335,0.2052225886683585,0.1643799530183298,0.14015999003437027,0.1762340444854997,-0.00956173296555439,1.0
